index,neighbourhood,cluster_sum,noise_1,noise_2,noise_3,noise_4,noise_5,safety_1,safety_2,safety_3,safety_4,safety_5,entertainment_1,entertainment_2,entertainment_3,entertainment_4,entertainment_5,restaurant_1,restaurant_2,restaurant_3,restaurant_4,restaurant_5,host_1,host_2,host_3,host_4,host_5,expense_1,expense_2,expense_3,expense_4,expense_5,shopping_1,shopping_2,shopping_3,shopping_4,shopping_5,nightlife_1,nightlife_2,nightlife_3,nightlife_4,nightlife_5,transit_1,transit_2,transit_3,transit_4,transit_5
172,Port Morris,"It's also right by an on-ramp to a busy road and traffic did add a good bit of noise. It was very comfy, but if you are someone with back issues it might be a problem. Great host, nice and clean apartment! It was a great place to stay. But it was a cozy place with super cute furnishing. Daniel was a great host! ","Close to parks, water and subway.",Main bedroom aircon a bit noisy.,Super cool artist's type loft space.,"A bit of traffic noise, but nothing to disturbing.","Great communication, amazing attention and friendly ambient.","Great communication, amazing attention and friendly ambient.",very safe and everyone was friendly.,Super cool artist's type loft space.,"Clean, with great care, ever complete.",Great quiet location close to subway for ease of access.,Apartment building is a neat place full of art studios.,"Great communication, amazing attention and friendly ambient.",Super cool artist's type loft space.,Amazing food near by too.,"Close to manhattan good food around, laundry and supermarkets.","Subway and bus lines are close, a restaurant, a bar, groceries shop, everything was close too.",Close to a local neighborhood bar with great food.,Apartment building is a neat place full of art studios.,Great location great loft style apartment.,Very spacious and in a great neighborhood with many shops and restaurants.,Great apartment and great host - would definitely stay again.,host is very nice and friendly.,Daniel was a great host!,Daniel was an excellent host.,"Great place to stay, perfect host.","Super spacious, modern and efficient air conditioning, easy access to trains, and excellent value for money.",Huge amount of information readily available.,"Great location, value, and host!",close to trasports and placed in an interesting neighborhood.,Can be a consuming walk upstairs with luggage but close to subways.,"Close to manhattan good food around, laundry and supermarkets.","Subway and bus lines are close, a restaurant, a bar, groceries shop, everything was close too.",Bring you own toiletries and coffee (fair enough).,Can be a consuming walk upstairs with luggage but close to subways.,that take you downtown quickly.,Great location great loft style apartment.,Super cool artist's type loft space.,"Close to manhattan good food around, laundry and supermarkets.","Restaurants within walking distance, and even more with public transit.",Close to a local neighborhood bar with great food.,Great quiet location close to subway for ease of access.,"Beautifully decorated house, clean, quite close to public transport (bus and subway).",Very close to subway and easy to travel around.,Close to subway station and bus stops.,"Close to parks, water and subway."
173,Port Richmond,"It is a clean house, cozy and quiet ambient. Perfect location if you have/rent a car. It was a great stay! Thanks for having us Ayman! Ayman’s place was set up so that it is easy to feel at home. Close to a bus and food! ","Quiet location,  spacious,  warm room ,cooking facilities .","It was clean, cozy, and had nice amenities.","It was clean, easily accessible and cozy.","It's a bit far from any shops, etc.",It was really comfortable and everything you need is walking distance.,"Quiet location,  spacious,  warm room ,cooking facilities .","It was clean, easily accessible and cozy.","Great communication,everything you need for a great stay.",Good communication and a great host.,Very close to public transport.,Clean and comfortable Spotless apartment and great location.,"Quiet location,  spacious,  warm room ,cooking facilities .","Great location close to many stores, supermarket, and restaurants.","It was clean, cozy, and had nice amenities.","Basement apartment, but it was comfortable.","Great location close to many stores, supermarket, and restaurants.","You have shops, restaurants, bakerys, grocery stores and banks very close.","Quiet location,  spacious,  warm room ,cooking facilities .","Basement apartment, but it was comfortable.",Clean and comfortable Spotless apartment and great location.,Good communication and a great host.,A responsive and caring host.,"Great communication,everything you need for a great stay.",Plenty of space for all of us.,Perfect location if you have/rent a car.,"Quiet location,  spacious,  warm room ,cooking facilities .",It was close to family during a difficult time.,"It was clean, easily accessible and cozy.","Great communication,everything you need for a great stay.",Recommended for anyone on a budget.,"You have shops, restaurants, bakerys, grocery stores and banks very close.",Close enough to shops and bars.,"Great location close to many stores, supermarket, and restaurants.",Perfect location if you have/rent a car.,"Quiet location,  spacious,  warm room ,cooking facilities .","Quiet location,  spacious,  warm room ,cooking facilities .","Great location close to many stores, supermarket, and restaurants.","Basement apartment, but it was comfortable.",Perfect location if you have/rent a car.,Clean and comfortable Spotless apartment and great location.,Close enough to shops and bars.,A responsive and caring host.,"Great location close to many stores, supermarket, and restaurants.",Very close to public transport.,"You have shops, restaurants, bakerys, grocery stores and banks very close."
174,Prince's Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Prospect Heights,"Ada was a generous host. It is exactly as described, in a great location, and a joy to stay in. Great place, very clean, perfect location, and great communication! Very clean and cozy room in a quiet house/neighborhood with a pleasant host. It was beautiful, clean and comfortable. It is located in a great area, close to transportation, and lots of local shops and restaurants. ","Don't worry, music noise was not and issue.","), shampoo, conditioner, q-tips, etc.",Communication was easy and quick.,"Cleanliness is a must, not a nice-to-have.",Air conditioner worked perfectly with no extra noise.,Good connection to public transportation.,"Access was uncomplicated, but safe and secure.",Easy access to mass transit.,Air conditioner worked perfectly with no extra noise.,"), shampoo, conditioner, q-tips, etc.",Great communication and hospitality along with a beautiful apartment.,"Accessible coffee, great food, bars.","Lots of food options, coffee shops and entertainment within easy walking distance.","great light, art, books, location.","Outstanding hospitality, good local knowledge, interesting fellow travelers, and great breakfasts.","Grocery store, shops, restaurants and bars around.","close to subway stations, bars, restaurants, coffee shops, and stores.",many restaurants and dessert places nearby.,"Near shopping, restaurants, museum, park and subways.",Centralized from local bars and restaurants!,Host was friendly and accommodating.,Great hosts and so accommodating!,Host is thoughtful and kind.,Host was accommodating  and communicative.,"Great host, location & apt.",Really good value for money.,It is good value for money.,It will save you money!,might be needed some upgrading of bathroom condition.,Overall great value for money.,"Shopping, too, if you want.","Perfect placement for cafes, shops and transportation.","Easy walking to subway, food, and shopping.",Location was great with shops & eating establishments nearby.,"Good location -  easy walks to stores, transportation and restaurants.","Great location, breakfast and vibe.","Fantastic location by subway, great restaurants and coffee shops.","Location was excellent  with close proximity to bars, restaurants, and public transportation.","Quiet neighborhood, with restaurants, delis and shopping facilities nearby.",many restaurants and dessert places nearby.,"Close to restaurants, public transit and prospect park.","Conveniently located to transit, eateries, landmarks.",Subway stations and bus stops are close-by too.,Good connection to public transportation.,Location is convenient to subway and bus.
176,Randall Manor,"Everything was super clean and super organized, including all necessary amenities. Thank you so so very much!!! Arika's place is very cute and clean, located in a quiet neighborhood. Excellent location, beautiful place and wonderful host. Wonderful price for a beautifully decorated appartment! Arika was an excellent host. ",Everything was  neat and clean.,Thank you so so very much!!!,"Arika's place is very cute and clean, located in a quiet neighborhood.",Arika was an excellent host.,Street parking is so easy if you are driving in.,Street parking is so easy if you are driving in.,Wonderful price for a beautifully decorated appartment!,Arika was an excellent host.,Everything was  neat and clean.,"It’s a great space, has everything you need.",Thank you so so very much!!!,"Everything was super clean and super organized, including all necessary amenities.",Everything was  neat and clean.,Arika was an excellent host.,"It’s a great space, has everything you need.","Arika's place is very cute and clean, located in a quiet neighborhood.","Excellent location, beautiful place and wonderful host.",Street parking is so easy if you are driving in.,Wonderful price for a beautifully decorated appartment!,"It’s a great space, has everything you need.",Thank you so so very much!!!,Street parking is so easy if you are driving in.,Arika was an excellent host.,"Everything was super clean and super organized, including all necessary amenities.","Arika's place is very cute and clean, located in a quiet neighborhood.","Arika's place is very cute and clean, located in a quiet neighborhood.","It’s a great space, has everything you need.",Everything was  neat and clean.,Arika was an excellent host.,"Everything was super clean and super organized, including all necessary amenities.","Arika's place is very cute and clean, located in a quiet neighborhood.",Street parking is so easy if you are driving in.,Wonderful price for a beautifully decorated appartment!,Everything was  neat and clean.,"Everything was super clean and super organized, including all necessary amenities.","Excellent location, beautiful place and wonderful host.","Arika's place is very cute and clean, located in a quiet neighborhood.",Wonderful price for a beautifully decorated appartment!,Street parking is so easy if you are driving in.,"Everything was super clean and super organized, including all necessary amenities.",Thank you so so very much!!!,Street parking is so easy if you are driving in.,"Excellent location, beautiful place and wonderful host.",Arika was an excellent host.,"Arika's place is very cute and clean, located in a quiet neighborhood."
177,Riverdale,"A great location, very safe, and within walking distance to stores and restaurants. Long is very accommodating and easy to talk to. Nice place and great host. :) Long was a wonderful host. It is a great place to stay. Quiet neighborhood, very clean apartment and found a parking spot very close by. ",Recommended if you want privacy and quiet.,"Easy access to transportation, restaurants, etc.","Totally clean, safe, quiet and spacious.",Host was on top of communication.,It was a nice surprise to find an electrical kettle and coffee.,Apt is clean and safe.,Good communication and nice location!,Recommended if you want privacy and quiet.,Everything you need plus complete privacy.,Great neighborhood - safe area with nice services in walking distance.,Good communication with host and comfortable space.,Good communication and nice location!,"Easy access to transportation, restaurants, etc.",It's a nice pup with life music.,Great host provided good communication and flexibility.,Restaurants and stores are nearby.,"Several eateries, grocery store, and small shops in neighborhood.",It’s a great neighborhood with shops and restaurants walking distance.,shops and stores within walking distance.,Nice little restaurants within walking distance.,Nice place and great host.,A great stay and great host.,Host was fantastic and friendly.,Host provides breakfast occasionally which was good too.,Long is a great host.,"Clean, spacious room, easygoing host, reasonable price.",shops and stores within walking distance.,It was in a perfect location for us and price was good.,"Easy access to transportation, restaurants, etc.",Parking could be a hassle.,shops and stores within walking distance.,"Located walking distance to  shopping, you can choose from a variety of restaurants and stores.",Parking was surprisingly super easy.,"Several eateries, grocery store, and small shops in neighborhood.",Parking could be a hassle.,"Easy access to transportation, restaurants, etc.",It’s a great neighborhood with shops and restaurants walking distance.,Riverdale diner is nearby and good food and good price.,Restaurants and stores are nearby.,Friendly host with nice accommodations.,"Easy access to transportation, restaurants, etc.",Within walking distance of public transit.,Note left with map to bus stop and number for taxi.,Easy access to bus to subway.,shops and stores within walking distance.
178,Silver Lake,"Cute place and in a safe neighborhood. That may not be a problem, if you don't plan to cook while on vacation. Definitely a place to stay. Great place, very comfortable with a lot to do. Not many people would have been so kind. A waste basket is provided for disposal of toilet paper. ",A waste basket is provided for disposal of toilet paper.,Excellent communication with very fast replies.,Cute place and in a safe neighborhood.,"Very clean, nice big TV, comfy bed, and overall great quality!",Sometimes a bit noisy from upstairs but not too much.,"Wonderful hosts, super easy to get a hold of and very accommodating.",Very happy A great location and value.,Excellent communication with very fast replies.,"Great apartment, clean & comfortable.",Very accessible to public transportation and various restaurants.,Fully stocked with toiletries and things you may have forgotten.,"Wonderful hosts, super easy to get a hold of and very accommodating.",Excellent communication with very fast replies.,"Very clean, nice big TV, comfy bed, and overall great quality!","Great apartment, clean & comfortable.",Very accessible to public transportation and various restaurants.,"Great apartment, clean & comfortable.","Private apartment,  very comfortable,  great for longer stays!",Cute place and in a safe neighborhood.,Bathroom wish was packed with extras like shampoo and conditioner.,"Great place, very comfortable with a lot to do.",Great location and comfortable Everything was great .,"That may not be a problem, if you don't plan to cook while on vacation.",It is a good place for sure after all.,Great place - very private.,"Wonderful hosts, super easy to get a hold of and very accommodating.","That may not be a problem, if you don't plan to cook while on vacation.",A waste basket is provided for disposal of toilet paper.,Owners are discreet and eager to make you feel right at home.,Fully stocked with toiletries and things you may have forgotten.,Very accessible to public transportation and various restaurants.,Bathroom wish was packed with extras like shampoo and conditioner.,A waste basket is provided for disposal of toilet paper.,"Private apartment,  very comfortable,  great for longer stays!","Great apartment, clean & comfortable.",Very accessible to public transportation and various restaurants.,Cute place and in a safe neighborhood.,Bathroom wish was packed with extras like shampoo and conditioner.,Great location and comfortable Everything was great .,"Great apartment, clean & comfortable.",Excellent communication with very fast replies.,Amazing apartment that was very clean and modern.,Cute place and in a safe neighborhood.,A waste basket is provided for disposal of toilet paper.,"Private apartment,  very comfortable,  great for longer stays!"
179,SoHo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Woodrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Red Hook,"It was lovely and clean and comfortable with a great location. If you just need a place to sleep with no frills, it's fine. But if you don't mind quirky, it is a great value and great location. It is within walking distance to some great restaurants, bakeries and shops. It was everything as advertised, plus it was quiet, peaceful, and very safe. Great host and very comfortable place to stay. ","Comfortable bed, good light, quiet.",Very hot water and full pressure!!,Communication and response time was fantastic!,"A real no fuss, chill experience.",Extremely small cramped restroom space.,Nice and safe place to stay.,Some improvements to cleanliness needed.,Good host and flexible with arrival times and apartment access.,Communication and response time was fantastic!,High quality appliances and furniture.,Great location near delicious food and fun activities.,Communication is fast and friendly.,Good host and flexible with arrival times and apartment access.,"Lots of toys, comfortable furniture and great art.","great location, host and place!",Restaurants and grocery store nearby.,Grocery store and lots of restaurants nearby.,Good restaurants and grocery shopping nearby.,Close to many amazing restaurant and coffee houses.,Excellent supermarket nearby and many restaurants.,"Seriously, highly recommended host and pad.","Great host, great house, highly recommend!",Great place to stay and great hosts!,"Host and flat highly recommended, in a great area.",Enjoyed every moment Great communication with host.,Communication and response time was fantastic!,An interesting experience all around.,"Very good value, would stay again!",Parking is a issue but not horrible.,room and bathroom are not clean.,Walking distance to grocery store and places to eat.,Good restaurants and grocery shopping nearby.,"local restaurants great, and shops for necessities .",(Beer is sold at bodegas and groceries).,Restaurants and grocery store nearby.,"Perfect location for quiet stay with plenty of local cafes, clubs, art studios.","Area is nice, quite hipster with som food restaurants and coffee shops.",Great location near delicious food and fun activities.,"Supermarkets, restaurants and bars are all walking distance.",Sense of community and some cool bars and eateries.,Public transportation is very convenient., Or use cabs.,Also subway is in walking distance.,Good bus connection to subway.,Pretty close to bus and subway.
182,Rego Park,"*TOTALLY NOT WORTH IT. Host is very nice and responsive. It was a great stay for us. It was clean, cozy and ready! Good location, very large and comfortable room and a gracious host. It’s also in a walking distance to shopping, good restaurants and public transportation. ","Apt is in a great location close to shops, dining and public transportation!","It was full of personality, charm and life.","Clean room, nice location, and quiet premises.","Its safety, privacy, proximity to different restaurants and transportation service is a big plus.",Great place just a lot of noise coming from up stairs.,Location is nice and safe.,"Its safety, privacy, proximity to different restaurants and transportation service is a big plus.",Nice location and clean house.,Also safe area and plus close to public transportation.,"Safe, walkable to shops, basic shared accommodations.","Great host, super fast communication.","Very good host, accommodating, communicative, attentive, and caring.","Safe, walkable to shops, basic shared accommodations.",Great instructions and clean space.,"Its safety, privacy, proximity to different restaurants and transportation service is a big plus.","Near restaurants, , shopping mall.","Close to public transportation, restaurant, grocery, pharmacy.",A lot of store and restaurant nearby.,Lots of restaurants and shops too!,Lots of shops and restaurants nearby.,Host was responsive and quick.,Host is so communicative and understanding!,Great host in a wonderful location.,Host is very nice and responsive.,Host was friendly and responsive.,"over all it is a good apartment, but it had some problems.","Its safety, privacy, proximity to different restaurants and transportation service is a big plus.",Common condiments are provided and free to use.,"Safe, walkable to shops, basic shared accommodations.",easy to find street parking space.,Shopping and going out is convenient!!,Convenient to shops and mass transit.,"Safe, walkable to shops, basic shared accommodations.",In walking distance to grocery stroes and laundry.,"CVS and large shopping mall nearby, not worried about goods purchase and meals.","Great location surrounded by a diverse range of restaurants, markets, bars, etc.","Quaint little place, in walking distance to public transportation, shops, cafes and restaurants.",Walking distance to many restaurants and transportation.,"It’s also in a walking distance to shopping, good restaurants and public transportation.",Location is great for access to city and local shopping!,Close to  public transit and shops.,"Subway, markets/grocery, results, parks and pharmacies are all within walking distance.",Location Is central to subway and bus stops.,Dont drive a car take public transportation.,"Easy access to bus, express bus and subway."
183,Richmond Hill,"It is very clean and comfortable. Was happy to orient me to a clean, big room with a comfortable bed and clean space. It is conveniently located, close to subway station and busstop. Seeranie is a very nice host. It was a pleasure staying with him! Great host and great experience  A quiet place to rest. ",Very clean and private environment with no disturbances.,"Very clean space, excellent communication and flexibility with arrival time.","Fresh linen, pillows, bed, etc.","Neat clean space, quick response and great hospitality values.",Communication via text was consistent and timely.,Good public tranport comunication (several options).,Unbelievable cleanliness - walk barefoot without a problem.,"Location is good, neighborhood feels safe.","Nice, clean, modern apartment, good, safe location, but site description misleading.","Safe, close to bus stop and always clean.","Site said ""flat screen tv"" - no tv service - only for playing DVDs.",Communication was amazing It's basically a hostel.,"Excellent hospitality, convenient location near airport, friendly host.",Great hospitality and good location!,convenience store and restaurant within walking distance.,convenience store and restaurant within walking distance.,"Close to subway, bars, and restaurants.","Near subway, restaurant, and supermarket, it’s very convenient.",Lots of nearby convenience stores and cute restaurants.,Close to shops and restaurants.,Host is very thorough and accommodating.,Best Airbnb host so far.,Great host.,"Host, ""H"",  was incredible and accommodating!",Host was very nice and accommodating.,Really a hassle free experience!,"So in conclusion, it is super cost effective!","Value for money, amazing host!!!!","Waste of time, and waste of money.",Over all good value for money.,"Location is walking distance to restaurants, grocery stores, and laundromats.","Close to restaurants, markets and laundry.",Close to shops and restaurants.,Many places nearby for eating and grocery shopping.,convenience store and restaurant within walking distance.,"Location is walking distance to restaurants, grocery stores, and laundromats.",convenience store and restaurant within walking distance.,Beautiful location and darling neighborhood.,Nice environment and convinent with market place and restaurant.,Shared room so expect hostel-like environment.,Close to airport and easy to manage transportation.,"Easy access to public transport, both bus and subway.",Trsins and busses and even late transportation like taxi's.,Access to bus and subway transit was very easy.,"Convenient location for airport, subway and buses."
184,Richmondtown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Ridgewood,"Great place in a nice neighborhood and good location. It was very comfortable and close to local coffee shops and food. Thank you so much for being a great host!!! Suzy is a great host and responds quickly. All in all, it was a great experience and I'd be happy to stay again! It was clean, cozy and comfortable. ","Hospitality, conversation & energy was omnipresent !!!","Electric transformers, bluetooth speaker, umbrellas, etc..",Not much street noise at all.,Street noise in front bedroom rental was significant.,"Chill space, laid back vibes.","Safe location, complete equipment, comfy bed.",Good location and safe area.,Perfect combination of privacy and community.,"Friendly hosts, lots of privacy.",Nice place and had privacy!,"Hospitality, conversation & energy was omnipresent !!!",Communication was great and easy.,"Overall, artistic home with lots of character.",Fast communication and accommodating host!,Great customer service and communication!,"Close to good cafes, bars, restaurants and shops.","Close to grocery stores, metro stations and local restaurants.","Location was near cafes, shops, grocery stores etc.",Lots of great coffee shops and restaurants.,Located near restaurants and grocery stores.,Great host and great stay.,Great house with kind host.,Nice and relax host.,"Great host, would stay again.",Host was very accommodating and hospitable.,"Incredible value, you're basically paying rent.",Worth every penny you spend.,Reasonable pricing means good value.,"Great value, super price, satisfying cleanliness, tips, and Internet speed.",All bases and issues are covered upfront.,"Location was near cafes, shops, grocery stores etc.",Similar walk into bars and shops.,"Also close to grocery stores, coffee shops and laundry mats.",Good coffee shops within walking distance.,Many shops near by supermarket food etc.,"Hospitality, conversation & energy was omnipresent !!!",Great cafe and local eats walking distance.,"Offered never-ending local knowledge and advice on pizza, bars, hangouts, transport, etc etc.",Lively friendly neighborhood with all amenities.,Shared space so bathroom cleanliness is up to guests.,Easy walking distance to subway.,Access to subways and local shops.,Easy access to public transportation.,Easy access to public transportation.,Adorable apartment with easy walking distance to transit and all shopping!
186,Sea Gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Rockaway Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Roosevelt Island,"Very clean and nice location! It was a great experience. Nice room in a good location, pretty close to all transit systems by foot. Pia has been a great hostess, always attentive and very respectful. It was really clean and comfortable. As soon as you walk in you get a “oh wow” feeling that may come to vocalize out loud! ","Realy nice view, realy peacefull !",""", ""No, I'm a guest of so-and-so"" - that kind of thing.",Communication with host pre- and post booking was easy - prompt replies.,air conditioner was a bit noisy but was about to get fixed.,"Apartment is clean, no bugs or critters.","Very clean, very easy to access, safe location and tremendous value.",Families pose for pictures in open green spaces.,communication was easy going and really fast.,"Cleanliness was okay, could've been better.","Good location, safe and clean.",No amenities = no tv or living room.,"Excellent host, great communication, great experience overall!",Great location and comfort place.,Outdoor pool was a nice bonus.,Communication with host pre- and post booking was easy - prompt replies.,Some nice grocery stores and restaurants not so far.,Close to convenience stores and a local market.,Also you have a supermarket and some food stores at hand.,Lots of stores and fancy places.,"A pet cat, river walk access, multiple food places, clean bedroom & bathroom.",Pia is an excellent host.,"Excellent host, great communication, great experience overall!",Very clean and hospitable host.,Lovely home with a great host.,Communication with host pre- and post booking was easy - prompt replies.,Overall a great experience and good value.,communication was easy going and really fast.,Booking was easy through airbnb.,Outdoor pool was a nice bonus.,It was very convenient and easy to spend.,Booking was easy through airbnb.,Close to convenience stores and a local market.,Also you have a supermarket and some food stores at hand.,Some nice grocery stores and restaurants not so far.,Very convenient location for traveling to midtown by subway.,Great location and comfort place.,Nice decor and pleasant hosts.,"Amazing, host location and experience.","Great place to stay, especially if you like museums and mid-town activities.",Very convenient location for traveling to midtown by subway.,Safe and quiet apartment with easy access to subway.,Easy walk to F train station.,Close to transportation to get to main city and very clean rooms.,Apartment is close to subway so its quite convenient.,Very convenient location for traveling to midtown by subway.
189,Rosebank,"Door lock was little jiggety. Very nice place, cozy and quiet. It was a cozy place to stay, got everything you need, and clean. You can walk to stores, restaurants, and pubs. Grocery store and laundromat close. Parking at ferry station was really difficult. ",It was clean and cozy.,It is street parking no parking on premise.,Parking at ferry station was really difficult.,Parking was an unexpected plus.,Door lock was little jiggety.,Great location on a safe street.,Unable to find a smoke detector.,"Comfortable and private, great location.",Definitely better than a cramped hotel room.,Host responds quickly and neighborhood  is safe and quite.,Lots of storage and everything you need to feel comfortable.,Great restaurants and things within walking distance.,"Hosts, apartment, price, everything was great.",Parking was an unexpected plus.,"Comfortable and private, great location.",Grocery store and laundromat close.,"Grocery store, yoga studio, bodegas, drugstore, laundromats all within walking distance.","All shops, cafe's are located nearby.",Plenty of parking and lots of walkable restaurants and stores.,"You can walk to stores, restaurants, and pubs.","Hosts, apartment, price, everything was great.",Great place to stay in SI!,"It was a cozy place to stay, got everything you need, and clean.",Host responds quickly and neighborhood  is safe and quite.,Nice neighborhood and ease of getting places.,"Great rate and location, communication was excellent.",Location and hospitality could not have been better!,Parking was an unexpected plus.,Lots of storage and everything you need to feel comfortable.,Definitely better than a cramped hotel room.,"Grocery store, yoga studio, bodegas, drugstore, laundromats all within walking distance.","All shops, cafe's are located nearby.",Grocery store and laundromat close.,"You can walk to stores, restaurants, and pubs.",Parking was an unexpected plus.,"Grocery store, yoga studio, bodegas, drugstore, laundromats all within walking distance.",Great restaurants and things within walking distance.,"Hosts, apartment, price, everything was great.",Very quiet apartment and neighborhood.,"All shops, cafe's are located nearby.",Parking at ferry station was really difficult.,a bus ride is also an option.,Parking was an unexpected plus.,Apartments located in very convenient  area for commuting.,Grocery store and laundromat close.
190,Rosedale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Rossville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Schuylerville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Sheepshead Bay,"Everything is new, you really couldn't ask for more. It was nice appartment near to subway with good connection to manhattan and coast. Very clean apartment and great location. It is cozy and clean! Thank you for being a great host! It was an aboslute great place to stay! ",no time curfew and no problems.,"Calm invironment, easy do deal with host.",Communication was fast and easy.,"(Snow, cold, water frozen) ",Price/ quality is ok .,"Very private, safe and quiet.",Lack of visibility could be hazardous.,Excellent accessibility and connectivity to downtown.,Location was very convenient & safe.,"Great, safe, quiet (by NY standards, anyway) neighborhood.","Outstanding hospitality, great location and very close to subway, stores and great restaurants.",great accommodations and great service.,Excellent accessibility and connectivity to downtown.,"), better than advertised cable TV, and a safe neighborhood to stay in.",Incredible hospitality and a very clean and updated apartment.,Restaurants and stores in walking distance.,"Great location to restaurants, cafes and shopping.",A lot of good restaurants and grocery shop.,"Train,bus station and restaurants, highly recommend all people.","Near subway, food and shopping.",Great location and host !,Best Host and nice place!!!,Great hosts and amazing community.,Host was very prompt and responsive.,Lovely home and very inviting hosts.,Reasonable price with great location.,No complaints and a great value!,Good location and value for money.,Nothing Good value for money and convenient.,Price/ quality is ok .,Walking distance to subway stop and shops around town.,"Great location to restaurants, cafes and shopping.","Near subway, food and shopping.",Parking was easy to find.,Restaurants and stores in walking distance.,"Great location to restaurants, cafes and shopping.",Restaurants and stores in walking distance.,"Outstanding hospitality, great location and very close to subway, stores and great restaurants.",Interesting neighborhood with good food options in walking distance.,Fantastic hospitality - great base close to station (some train noise).,Walking distance to subway stop and shops around town.,Walkable distance to public transit for both subway and buses.,"Its also close to stores, transit etc.",Easy walk to subway station.,Superb access to subway  Q line.
194,South Beach,"basement tv room was fabulous. It is a clean home and accurate in description! Anything you do not have is a stone's throw away in a local grocery, bakery and restaurants. Elias was an amazing host, fast to reply and was extremely nice. A great, affordable, clean and convenient place to stay. Walking distance to some fun locations. ",It is a clean home and accurate in description!,"Very clean, new and simple interior design.","Anything you do not have is a stone's throw away in a local grocery, bakery and restaurants.","Everything was impecable, clean and beautiful.",Walking distance to some fun locations.,"Very clean house, wonderful host and very safe home, quiet area.",Walking distance to some fun locations.,"Very clean, new and simple interior design.",Grocery store and food options close by!,Clean space with everything needed for cooking a quick meal.,Grocery store and food options close by!,"Lovely accommodations, exactly as advertised.",Living space is just fine and host is great at responding to texts.,"Apartment was clean, with air conditioning, gas cooker, microwave, fridge freezer and cooking utensils, plates cups etc.",Clean space with everything needed for cooking a quick meal.,Grocery store and food options close by!,basement tv room was fabulous.,Access to walkable restaurants and groceries.,Its in a quiet neighborhood with a grocery store almost next door.,"Convenient, accessible neighborhood adjacent to lovely boardwalk / beach.","Very clean house, wonderful host and very safe home, quiet area.",basement tv room was fabulous.,And you have great stores and such within walking distance.,Nice to have cable instead of antenna channels.,Living space is just fine and host is great at responding to texts.,"Lovely accommodations, exactly as advertised.",All amenities you need and more.,Living space is just fine and host is great at responding to texts.,Access to walkable restaurants and groceries.,It is a clean home and accurate in description!,Grocery store and food options close by!,Access to walkable restaurants and groceries.,Walking distance to some fun locations.,"Lovely accommodations, exactly as advertised.","Anything you do not have is a stone's throw away in a local grocery, bakery and restaurants.",Access to walkable restaurants and groceries.,basement tv room was fabulous.,Walking distance to some fun locations.,"Convenient, accessible neighborhood adjacent to lovely boardwalk / beach.","Close to beach, walked boardwalk several times.",Nice to have cable instead of antenna channels.,Access to walkable restaurants and groceries.,Living space is just fine and host is great at responding to texts.,"Close to beach, walked boardwalk several times.",Grocery store and food options close by!
195,South Ozone Park,"Everything is good  A clean, quiet and private place in a good location. Would deff go back and stay again. It was nice, clean and cozy. Sally is a wonderful host. Thank you very much for a brilliant stay. Super clean room and an amazing common area for eating and cooking if needed. ","Slight radiator noises, but no temperature issues.",Clean space that has everything you'll need.,"Clean room,  private bath, great air conditioner.",Full size fridge and stove.,Super clean room and an amazing common area for eating and cooking if needed.,Secure entry and a great value.,Lovely amenities and amazing hospitality!!,Very cute place with complete privacy.,Nice communication with a host!,Cleaning and amenities made a plus.,"large bathroom, hot water, internet, computer.",Secure entry and a great value.,Cleaning and amenities made a plus.,"Clean room,  private bath, great air conditioner.",Access to a fridge was great and microwave.,Easy walking access to local shops and restaurant.,"Clean and quiet, stores, restaurants and bakeries around.",Stores and restaurants are close by.,"Clean, friendly neighborhood near store and main streets.","Clean room,  private bath, great air conditioner.",Nice communication with a host!,Greg is a wonderful host.,Thank you for hosting us!,Host was very hospitable on short notice.,Great host too with quick communication.,Easy access and as expected.,Cleaning and amenities made a plus.,Very good value for money overall!,"Slight radiator noises, but no temperature issues.",Just minor inconvenience with location/transportation.,Easy walking access to local shops and restaurant.,Walking distance for basic shopping.,Lots of stores on walking distance.,"Buses, small stores, and food options are close by, very easy to walk around and travel.","All buses, trains and grocery stores are in walking distance.",Lovely amenities and amazing hospitality!!,Easy walking access to local shops and restaurant.,Super clean room and an amazing common area for eating and cooking if needed.,"Clean room,  private bath, great air conditioner.","Clean and quiet, stores, restaurants and bakeries around.","All buses, trains and grocery stores are in walking distance.",Just minor inconvenience with location/transportation.,Easy walking access to local shops and restaurant.,It's in a quiet area and public transportation is near by.,hard to find place to park if you are traveling with car.
